page_number,line_number,event_number,event_name,athlete_name,age,club_name,rank_position,seed_time_text,result_time_text,result_time_ms,status,raw_line
3,27,3,women 50-54 50 LC Meter butterfly,"Cabeza, Marisel",52,Nunoa Master,4,"1:06,46","1:03,55",63550,valid,"4 Cabeza, Marisel 52 Nunoa Master 1:06,46 1:03,55"
3,28,3,women 50-54 50 LC Meter butterfly,"Gonzalez, Elena",52,Nunoa Master,5,"1:00,00","1:05,81",65810,valid,"5 Gonzalez, Elena 52 Nunoa Master 1:00,00 1:05,81"
3,30,3,women 55-59 50 LC Meter butterfly,"Perez, Paulina",56,Natacion Master Recoleta,1,"54,71","58,90",58900,valid,"1 Perez, Paulina 56 Natacion Master Recoleta 54,71 58,90"
3,31,3,women 55-59 50 LC Meter butterfly,"Crocco, Gianina",58,Natacion Master Buin,2,"1:00,00","1:04,61",64610,valid,"2 Crocco, Gianina 58 Natacion Master Buin 1:00,00 1:04,61"
3,33,3,women 60-64 50 LC Meter butterfly,"Case, Cynthia",64,Master Providencia,1,"43,00","42,49",42490,valid,"1 Case, Cynthia 64 Master Providencia 43,00 42,49"
3,34,3,women 60-64 50 LC Meter butterfly,"Torres, Sandra",62,Penñalolen Master,2,"1:05,00","1:01,44",61440,valid,"2 Torres, Sandra 62 Penñalolen Master 1:05,00 1:01,44"
3,35,3,women 60-64 50 LC Meter butterfly,"Quinones, Ema",61,Club Deportivo UC,3,"1:20,00","1:02,79",62790,valid,"3 Quinones, Ema 61 Club Deportivo UC 1:20,00 1:02,79"
3,36,3,women 60-64 50 LC Meter butterfly,"Reyes, Irene",62,Pedro Aguirre Cerda,4,"1:05,20","1:08,57",68570,valid,"4 Reyes, Irene 62 Pedro Aguirre Cerda 1:05,20 1:08,57"
3,37,3,women 60-64 50 LC Meter butterfly,"Muüller, Bettina",62,Penñalolen Master,5,"1:04,00","1:10,18",70180,valid,"5 Muüller, Bettina 62 Penñalolen Master 1:04,00 1:10,18"
3,38,3,women 60-64 50 LC Meter butterfly,"Valdivia, Adriana",63,Penñalolen Master,6,"1:40,00","1:20,42",80420,valid,"6 Valdivia, Adriana 63 Penñalolen Master 1:40,00 1:20,42"
3,39,3,women 60-64 50 LC Meter butterfly,"Moncada, Marisol",61,Natacion Master Recoleta,7,"1:54,56","1:54,58",114580,valid,"7 Moncada, Marisol 61 Natacion Master Recoleta 1:54,56 1:54,58"
